933.696960,101.79,88.25,126.29,1.00,-0.03,0.02,99.58,480.28,0,-1.05,479.60,7.46,479.97,480.28,0,0,480.28
933.707264,101.79,88.25,126.29,1.00,-0.03,0.02,99.58,480.28,0,-0.98,479.63,-9.18,479.99,480.28,0,0,480.28
933.717329,101.80,88.25,126.30,1.00,-0.02,0.02,99.59,476.96,0,-1.27,479.49,-27.24,479.96,476.96,0,0,476.96
933.726958,101.82,88.25,126.31,1.00,-0.02,0.02,99.57,481.39,0,-1.06,479.57,4.27,480.02,481.39,0,0,481.39
933.737094,101.81,88.25,126.31,1.00,-0.02,0.02,99.59,478.34,0,-1.19,479.50,11.11,480.02,478.34,0,0,478.34
933.747042,101.86,88.25,126.36,1.00,-0.02,0.02,99.57,481.39,0,-0.98,479.58,1.58,480.02,481.39,0,0,481.39
933.757158,101.86,88.25,126.36,1.00,-0.02,0.02,99.59,478.34,0,-1.12,479.51,-11.31,479.96,478.34,0,0,478.34
933.767063,101.86,88.25,126.36,1.00,-0.02,0.01,99.57,481.39,0,-0.91,479.59,7.11,479.96,481.39,0,0,481.39
933.777151,101.84,88.25,126.34,1.00,-0.02,0.02,99.59,476.96,0,-1.20,479.46,-5.32,479.87,476.96,0,0,476.96
933.787059,101.84,88.25,126.34,1.00,-0.02,0.02,99.59,476.96,0,-1.47,479.33,-27.19,479.78,476.96,0,0,476.96
933.796906,101.84,88.25,126.34,1.00,-0.03,0.02,99.57,481.39,0,-1.24,479.41,-7.46,479.80,481.39,0,0,481.39
933.807633,101.81,88.25,126.31,1.00,-0.03,0.02,99.58,479.17,0,-1.27,479.39,2.23,479.78,479.17,0,0,479.17
933.817120,101.78,88.25,126.28,1.00,-0.03,0.01,99.57,483.33,0,-0.84,479.56,30.95,479.82,483.33,0,0,483.33
933.827137,101.77,88.25,126.27,1.00,-0.02,0.02,99.58,480.28,0,-0.76,479.58,0.00,479.80,480.28,0,0,480.28
933.837103,101.77,88.25,126.27,1.00,-0.02,0.02,99.58,480.28,0,-0.68,479.61,6.47,479.78,480.28,0,0,480.28
933.847182,101.78,88.25,126.28,1.00,-0.02,0.02,99.59,478.34,0,-0.82,479.54,11.79,479.74,478.34,0,0,478.34
